Country,Year,fertilityRate,lifeExpectancy,mortalityRate,popGrowth,ruralPopPct,gdpGrowthPct,gdpUS,gdpPerCapitaUS,gni,gniPerCapita,pop14under,pop15to24,pop25to64,pop65over,totalPop,happinessScore
Australia,2015,1.814,82.4,3.2,1.4392200000000002,14.299000000000001,2.35114,1349034029453.37,56644.03396,1587954000000.0,60440.0,4520.213,3172.395,12684.813999999998,3555.08,23932.502,7.284
Australia,2016,1.7519999999999998,82.44878,3.1,1.5619399999999999,14.2,2.8273099999999998,1208039015868.39,49937.73139,1622282000000.0,54180.0,4598.344,3155.24,12835.482,3673.6459999999997,24262.712000000003,7.313
Australia,2017,1.765,82.49756,3.0,1.68452,14.095999999999998,1.9575799999999999,1323421072479.07,53793.537260000005,1707621000000.0,51360.0,4687.067,3135.675,12974.858,3787.02,24584.62,7.28399991989136
Austria,2015,1.49,81.19024,3.0,1.12099,42.285,1.1429799999999999,381805676697.70703,44176.67174,340869100000.0,47490.0,1225.425,1008.434,4809.7,1635.101,8678.66,7.2
Austria,2016,1.53,81.64146,3.0,1.0814,42.095,2.03957,394052818287.78796,45103.32981,355831400000.0,46130.0,1239.55,1001.79,4851.920999999999,1654.04,8747.301,7.119
Austria,2017,1.53,81.64146,2.9,0.69462,41.906000000000006,2.55088,416835975862.193,47380.829639999996,368917000000.0,45360.0,1255.153,993.08,4899.717000000001,1671.951,8819.901,7.00600004196167
Belgium,2015,1.7,80.99268000000001,3.2,0.57945,2.124,1.71668,455837758493.34796,40431.95262,408776700000.0,44180.0,1919.4189999999999,1325.25,5995.378000000001,2047.8929999999998,11287.94,6.937
Belgium,2016,1.68,81.43902,3.1,0.5063,2.081,1.48868,469738715754.105,41454.52493,425082800000.0,42530.0,1932.148,1319.999,6016.255,2086.018,11354.42,6.928999999999999
Belgium,2017,1.68,81.43902,3.1,0.44881000000000004,2.039,1.69288,494763551890.776,43467.4459,444348700000.0,42050.0,1945.523,1313.102,6038.868,2122.255,11419.748,6.89099979400635
Canada,2015,1.5630000000000002,81.9,4.7,0.8327700000000001,18.741,1.00088,1552521512853.35,43327.17364,1955337000000.0,47380.0,5761.1990000000005,4648.731,19833.155,5783.590999999999,36026.676,7.4270000000000005
Canada,2016,1.5433,82.30051,4.6,1.19865,18.7,1.4141,1526953791566.99,42105.90006,1999405000000.0,43770.0,5784.173000000001,4620.4490000000005,19991.505,5986.816999999999,36382.943999999996,7.404
Canada,2017,1.4961,82.47049,4.5,1.21548,18.65,3.04735,1647120175449.13,44870.77616,2114408000000.0,42790.0,5829.397,4562.767,20153.331000000002,6186.6,36732.095,7.31599998474121
Czech Republic,2015,1.57,78.57805,2.5,0.19659000000000001,26.523000000000003,5.30924,186829940545.75897,17715.61685,4286153000000.0,18260.0,1602.315,1070.0639999999999,6021.299,1907.719,10601.396999999999,6.505
Czech Republic,2016,1.63,79.02683,2.6,0.19205,26.43,2.45054,195090272402.72897,18463.386580000002,4458906000000.0,17590.0,1614.725,1035.7830000000001,6001.571999999999,1966.777,10618.857,6.596
Czech Republic,2017,1.63,79.47561,2.6,0.26564,26.325,4.3526,215913545038.43,20379.89604,4735267000000.0,17960.0,1637.1629999999998,1004.0889999999999,5978.335999999999,2021.4460000000001,10641.034,6.60900020599365
Denmark,2015,1.71,80.70244,3.6,0.7064199999999999,12.474,2.34262,302673037998.602,53254.850589999995,2090395000000.0,60270.0,958.1560000000001,749.049,2897.9390000000003,1083.5510000000002,5688.695,7.527
Denmark,2016,1.79,80.85365999999999,3.7,0.7803899999999999,12.357999999999999,2.39968,311988101661.74396,54467.101429999995,2118148000000.0,56750.0,947.928,747.903,2906.2340000000004,1109.2839999999999,5711.349,7.526
Denmark,2017,1.79,81.00488,3.7,0.64335,12.243,2.26237,329865537183.471,57218.85196,2194349000000.0,55330.0,945.3489999999999,741.063,2918.926,1126.9360000000001,5732.274,7.52199983596802
Finland,2015,1.65,81.48049,2.0,0.32938,14.775,0.50066,232850788304.513,42494.65662,211472000000.0,46680.0,898.6110000000001,650.09,2822.802,1109.619,5481.121999999999,7.406000000000001
Finland,2016,1.57,81.42926999999999,1.9,0.28742,14.725,2.77193,239009517793.721,43493.41934,219175000000.0,45620.0,897.9889999999999,643.249,2813.448,1143.027,5497.713000000001,7.412999999999999
Finland,2017,1.57,81.42926999999999,1.9,0.23467,14.675,2.65253,252301837573.029,45804.65421,226487000000.0,44760.0,895.6619999999999,634.196,2808.762,1172.751,5511.371,7.468999862670901
France,2015,1.96,82.32195,3.5,0.41723999999999994,20.345,1.11291,2438207896251.84,36613.37522,2245908830000.0,41080.0,11828.716999999999,7546.8240000000005,32908.176,12169.483,64453.2,6.575
France,2016,1.92,82.52439,3.5,0.39924,20.083,1.17105,2465134297438.91,36870.21913,2276126310000.0,38980.0,11798.946000000002,7542.028,32856.042,12470.58,64667.596,6.478
France,2017,1.92,82.52439,3.5,0.36688000000000004,19.82,2.1611599999999997,2582501307216.42,38484.18992,2348480460000.0,38160.0,11742.866000000002,7544.275,32801.497,12753.871000000001,64842.509000000005,6.44199991226196
Germany,2015,1.5,80.64146,3.3,0.8657,22.8,1.7389700000000001,3381389338658.82,41394.65816,3114633000000.0,46020.0,10809.792,8664.76,44958.723,17354.136000000002,81787.411,6.75
Germany,2016,1.59,80.99024,3.2,0.8072199999999999,22.776,2.2422400000000002,3495162856297.22,42443.46507,3222405000000.0,44360.0,10944.346000000001,8666.214,45085.215,17497.993000000002,82193.768,6.994
Germany,2017,1.57,80.99024,3.1,0.40859,22.739,2.15711,3693204332229.78,44665.506369999996,3346282000000.0,43700.0,11118.125,8683.341,45191.611,17665.332,82658.409,6.9510002136230495
Greece,2015,1.33,81.03659,3.9,-0.65886,21.954,-0.43783,196591353761.226,18167.773719999997,177502740600.0,20320.0,1552.043,1086.327,5801.9130000000005,2219.467,10659.75,4.857
Greece,2016,1.38,81.3878,4.2,-0.41591000000000006,21.613000000000003,-0.19095,195222443512.93698,18116.459619999998,176494503700.0,18890.0,1523.839,1076.202,5772.16,2242.984,10615.185,5.033
Greece,2017,1.38,81.3878,4.3,-0.20845999999999998,21.276,1.5051,203085551429.132,18885.475980000003,180567906000.0,18340.0,1501.37,1067.646,5738.64,2261.794,10569.45,5.2270002365112305
Hungary,2015,1.45,75.56829,4.3,-0.23786,29.5,3.53643,123074092703.14099,12503.68207,32862766000000.0,13140.0,1412.775,1142.326,5514.736,1708.086,9777.923,4.8
Hungary,2016,1.53,76.06341,4.1,-0.29511,29.221,2.2808,126007978024.32,12839.58454,34609009000000.0,12940.0,1401.602,1115.558,5480.0509999999995,1755.764,9752.975,5.145
Hungary,2017,1.53,76.06341,3.8,-0.26586,28.938000000000002,4.13706,139761138102.757,14278.8745,36823641000000.0,12920.0,1398.396,1084.389,5439.445,1807.5929999999998,9729.823,5.32399988174438
Iceland,2015,1.8,82.46829,1.7,1.0419399999999999,6.3,4.46786,17344165907.2129,52428.595760000004,2182437000000.0,50150.0,67.082,47.157,170.71400000000003,45.29,330.24300000000005,7.561
Iceland,2016,1.74,82.20488,1.7,1.38808,6.265,7.3514800000000005,20716024757.4057,61757.94931,2395281000000.0,55120.0,66.921,46.512,172.03900000000002,46.733999999999995,332.20599999999996,7.501
Iceland,2017,1.74,82.20488,1.6,2.34558,6.227,4.02487,24488467010.4793,71311.78512,2560510853242.0,60500.0,66.844,45.688,173.623,48.238,334.39300000000003,7.50400018692017
Ireland,2015,1.85,81.45366,3.1,0.94485,37.461999999999996,25.11725,291092489805.942,61908.79452999999,201667082100.0,50390.0,1017.6110000000001,535.374,2504.345,595.095,4652.425,6.94
Ireland,2016,1.81,81.70488,3.0,1.12883,37.263000000000005,4.98758,302242900803.522,63558.697929999995,223150091400.0,53110.0,1021.582,545.749,2511.0660000000003,617.382,4695.779,6.907
Ireland,2017,1.81,81.9561,3.0,1.17045,37.053000000000004,7.2217899999999995,331430014003.047,68885.45038,234220940000.0,53370.0,1026.864,558.431,2525.975,642.009,4753.279,6.9770002365112305
